author,comment,likes,published_at,comment_id
@BrianMedinaOfficial,We need a Vice documentary on how Vice laid off hundreds of employees while giving out millions in bonuses to their leadership team.,2039,2024-03-05T03:54:19Z,UgwwwqGN-BD8CHzQzdl4AaABAg
@Strangerer69,The problem is that the US government doesnt treat the Chinese cyberwar like its a war.  They invest more in guns than asymmetric warfare.,216,2024-03-05T00:14:01Z,UgwD_aSNoyCnadKhWAB4AaABAg
@mrsbenz1020,They have TEMU. Where your demographics and personal information is worth .99 cents. Hacked?,298,2024-03-04T17:10:28Z,Ugytkd8Dcju2R51_0BJ4AaABAg
@AbhishekSingh-jt9fn,Now Chinese has got some taste of their own medicine. Nice to see finally USA responding to Chinese in the language they understand best that is force and threat.,285,2022-09-05T14:34:58Z,Ugx8g0rwJEe4w0HY3Vd4AaABAg
@pakistaninaliwala5199,The data breach also revealed on how much money MulkEKatora  owes to MulkECorona ..and also about how China is planning to systematically absorb Pakistan to convert it into a Chinese province.,211,2022-09-05T14:22:50Z,UgyvYbkg_zXV4WMAE5Z4AaABAg
@sententia8314,If US really did this cyber attacks then US really did the right thing after a long time,194,2022-09-05T14:11:18Z,UgzcHKxjj13m032WDOJ4AaABAg
@sarinulek6816,"Sounds like someone cant handle the taste of their own medicine.. after all according to them theres no such thing as cheating or stealing, as its their own fault for letting it happen..",224,2022-09-05T14:07:27Z,UgxaHOHPSYaTdtsO_9p4AaABAg
@ThiagoSTeixeir4,And chatgpt is sending my data to USA.,309,2025-01-29T17:23:12Z,UgzATBw3t2ZBpcFQJvJ4AaABAg
@heyred1368,Whats about every American application sending my data to the US?,523,2025-01-29T17:08:55Z,Ugy1VUl0umX6f6XVAYt4AaABAg
@sg1aprophis,and OpenAI ChatGPT is sending your Data to USA so what,229,2025-01-29T17:08:39Z,UgyqJT8_wj7M5azIqld4AaABAg
@nettofred,"north americans talking about stealing people is so ironic for the rest of the world, but they dont seem to notice it",215,2025-01-29T17:08:06Z,Ugw-kc0GjNCWJR2jEW94AaABAg
